id,user_id,item,created_at,revenue
1,109,milk,3/3/2020,123
2,139,biscuit,3/18/2020,421
3,120,milk,3/18/2020,176
4,108,banana,3/18/2020,862
5,130,milk,3/28/2020,333
6,103,bread,3/29/2020,862
7,122,banana,3/7/2020,952
8,125,bread,3/13/2020,317
9,139,bread,3/30/2020,929
10,141,banana,3/17/2020,812
11,116,bread,3/31/2020,226
12,128,bread,3/4/2020,112
13,146,biscuit,3/4/2020,362
14,119,banana,3/28/2020,127
15,142,bread,3/9/2020,503
16,122,bread,3/6/2020,593
17,128,biscuit,3/24/2020,160
18,112,banana,3/24/2020,262
19,149,banana,3/29/2020,382
20,100,banana,3/18/2020,599
21,130,milk,3/16/2020,604
22,103,milk,3/31/2020,290
23,112,banana,3/23/2020,523
24,102,bread,3/25/2020,325
25,120,biscuit,3/21/2020,858
26,109,bread,3/22/2020,432
27,101,milk,3/1/2020,449
28,138,milk,3/19/2020,961
29,100,milk,3/29/2020,410
30,129,milk,3/2/2020,771
31,123,milk,3/31/2020,434
32,104,biscuit,3/31/2020,957
33,110,bread,3/13/2020,210
34,143,bread,3/27/2020,870
35,130,milk,3/12/2020,176
36,128,milk,3/28/2020,498
37,133,banana,3/21/2020,837
38,150,banana,3/20/2020,927
39,120,milk,3/27/2020,793
40,109,bread,3/2/2020,362
41,110,bread,3/13/2020,262
42,140,milk,3/9/2020,468
43,112,banana,3/4/2020,381
44,117,biscuit,3/19/2020,831
45,137,banana,3/23/2020,490
46,130,bread,3/9/2020,149
47,133,bread,3/8/2020,658
48,143,milk,3/11/2020,317
49,111,biscuit,3/23/2020,204
50,150,banana,3/4/2020,299
51,131,bread,3/10/2020,155
52,140,biscuit,3/17/2020,810
53,147,banana,3/22/2020,702
54,119,biscuit,3/15/2020,355
55,116,milk,3/12/2020,468
56,141,milk,3/14/2020,254
57,143,bread,3/16/2020,647
58,105,bread,3/21/2020,562
59,149,biscuit,3/11/2020,827
60,117,banana,3/22/2020,249
61,150,banana,3/21/2020,450
62,134,bread,3/8/2020,981
63,133,banana,3/26/2020,353
64,127,milk,3/27/2020,300
65,101,milk,3/26/2020,740
66,137,biscuit,3/12/2020,473
67,113,biscuit,3/21/2020,278
68,141,bread,3/21/2020,118
69,112,biscuit,3/14/2020,334
70,118,milk,3/30/2020,603
71,111,milk,3/19/2020,205
72,146,biscuit,3/13/2020,599
73,148,banana,3/14/2020,530
74,100,banana,3/13/2020,175
75,105,banana,3/5/2020,815
76,129,milk,3/2/2020,489
77,121,milk,3/16/2020,476
78,117,bread,3/11/2020,270
79,133,milk,3/12/2020,446
80,124,bread,3/31/2020,937
81,145,bread,3/7/2020,821
82,105,banana,3/9/2020,972
83,131,milk,3/9/2020,808
84,114,biscuit,3/31/2020,202
85,120,milk,3/6/2020,898
86,130,milk,3/6/2020,581
87,141,biscuit,3/11/2020,749
88,147,bread,3/14/2020,262
89,118,milk,3/15/2020,735
90,136,biscuit,3/22/2020,410
91,132,bread,3/6/2020,161
92,137,biscuit,3/31/2020,427
93,107,bread,3/1/2020,701
94,111,biscuit,3/18/2020,218
95,100,bread,3/7/2020,410
96,106,milk,3/21/2020,379
97,114,banana,3/25/2020,705
98,110,bread,3/27/2020,225
99,130,milk,3/16/2020,494
100,117,bread,3/10/2020,209
